S.No.,quote
,"Grit is living life like it's a marathon, not a sprint. -Angela Duckworth"
,"If you are walking through the hood and you notice the cracks in the sidewalk where all the weeds, pebbles, dirt and grit settle in, that's me. -Stephen Jackson"
,"Heroes are never perfect, but they're brave, they're authentic, they're courageous, determined, discreet, and they've got grit. -Wade Davis"
,"Grit, determination, the right amount of crazy, self belief - everything it takes to be a champion. I have that. -Dustin Poirier"
,"Talent alone gets you nowhere. You really have to have the grit, and you gotta have a love for people. -Zac Brown"
,"Looking for the flag, keep it up now look for ""humility"" -Anonymous"
,“Your dreams are on the other side of your grit.” Anonymous
,“The difference in winning and losing is most often. Not quitting.” Walt Disney
