S.No.,quote
,"If you wish to look for the flag look for ""grit"" -Anonymous"
,There are no shortcuts to any place worth going. -Beverly Sills
,"The only failure is quitting, everything else is gathering information. -Jin Sincero"
,"There's only one way to succeed in anything, and that is to give it everything. -Vince Lombardi"
,"In a confrontation between a stream and the rock, the stream always wins- not through strength but by perseverance. -H. Jackson Brown, Jr."
